title,synopsis,type_,episodes,rating
S dake ja Tarinai,1. S dake ja Tarinai 2. Amai Himitsu wa Abakareru 3. Otona no Hajimete 4. Sasou Vanilla wa Mitsu no Aji 5. Oboreru Toiki ni Amai Wana,Manga,1,-
S Joshi-kai,,One-shot,-,-
S kara Hajimaru,"During a private swimming lesson, sixth grade student Shiho Asakura accuses her instructor of groping her. The instructor, tired of the loud-mouthed girl's antics, snaps and ends up raping her in ange...",One-shot,-,-
S Kareshi Joujou,"Hard work and dedication have finally paid off for Chiaki Muraoka, and she is now attending the school of her dreams: Otomegawa Academy Private High School. As she enters the dorm on her first day, sh...",Manga,7,6.99
S Kishi: Taikou-hime to Ijiwaru na Shimobe,,Light Novel,1,-
S Koushaku no Midara na Jinmon!,,Light Novel,1,-
S Kyuu Hero!,,Manga,8,-
S Love,"27, single, a normal office lady. It's not like she's not interested in a relationship, but she doesn't want to get married. In front of this kind of modern woman, Kanako, appeared a lost man. Perhaps...",Manga,2,7.29
S Master☆Holic,"Ex-servant and ex-princess, upheaval love story? Multi millionaire's daughter Kanna, was very demanding to her servant, Kou. But, someday, her family's business went bankrupt, and kanna had to live a...",Manga,1,-
S no Shouzou,,One-shot,-,-
S no Yuiitsu! M no Zettai,"1. Solely S, Absolutely M Mamiya has gorgeous looks, terrific grades and outstanding sports reflexes. He’s very popular with the girls in his class, but seems to have no interest in them whatsoever. S...",Manga,1,7.32
S Otome x M Danshi no Gyakuzeme Ganbou,1. Kuro Tebukuro Oyako no Bokki Kanri (Erection Management by Mother and Daughter Putting on the Black Gloves) 2. Mayonaka no Poolside: Shokushu Kyouei Choukyou 3. S-kei Nurse no Tekoki Kenshin 4. Mam...,Manga,1,-
S Rare Soubi no Niau Kanojo,"Seko Daiko, a second year high-schooler is an extreme cheapskate. Taking down all the light bulbs in the house, making his siblings eat baked bread crush for breakfast... He would do anything just to...",Manga,-,6.24
S Shitsuji to Maid Ojousama no Aoi Tori,,Light Novel,1,-
