title,synopsis,type_,episodes,rating
H wa Suki? Kirai?,1. Koi to H no Soujushin 2. Futari no Ouji-sama 3. Golden Sword wo Nerae! 4. Mix Fruits 5. H wa Suki? Kirai?,Manga,1,-
H x H x H,"On his way home after drinking with friends, Tomoe finds a handsome, mysterious young man slumped on the street. He seems to be injured, so Tomoe takes him home, but things get intimate fast! In the m...",Manga,1,6.68
H+P -HimePara-,"Kamiku Kyotaro is a straight-laced high school boy, who is good at Japanese fencing. One day, he wakes up to find himself warped into a different world. He is summoned by Trekwards Kingdom: the queen...",Manga,-,-
H+P -HimePara-,"Kamiku Kyotaro is a straight-laced high school boy, who is good at Japanese fencing. One day, he wakes up to find himself warped into a different world. He is summoned by Trekwards Kingdom: the queen...",Light Novel,-,-
H-Chibicco,4. Let's Go to the Pool 9. Nao-chan Is a Really Small Girl 2,Manga,1,-
Eaters Fang,A university student training to be a veterinarian finds everyday life put into jeopardy when a mysterious group unleashes rabid animals into the city.,Manga,2,-
E→Robot,"Yuuki's got the hots for Shirahama. All he's got to do is confess his undying love for her. The only problem is: he just can't do it! Every time he tries to tell her how he feels, he ends up chickenin...",Manga,2,-
Eb★Star,,Manga,1,-
Ebigawa-chou no Youkai Café,,Manga,-,-
Ebihara-san Chi wa Kyou mo Taihen!,,Manga,9,-
Ebihara-san Chi wa Kyou mo Taihen! - The Second Part,,Manga,8,-
Ebihara-san no Iutoori,"Taira works part-time at a convenience store with his senior, Ebihara. Taira just can’t get along with Ebihara. He’s a blunt, yet good-looking guy who effortlessly attracts lots of attention from many...",Manga,1,-
Ebisu,"When Masachika Ebisu arrives to stay for the first time in a dorm at a remote boarding school in the mountains, his attendant Shibazaki calls on the roommate Wataru Tamon to take care of master Masach...",Manga,1,6.85
Ebisu Gakuen Chuutouka Nichiyou Hoshuugumi Tanteidan,"A long-awaited comic series which is a collaboration with the rising stars ""EBiDAN39""! A teenage prodigy… and also a dropout?! Follow the school life adventures of 6 unique and unconventional students...",Manga,2,-
Ebisu Ginza Tengoku,,Manga,1,-
Ebisu-san to Hotei-san,"An office worker, Hotei, is not pleased when high-flyer Ebisu is transferred to her branch. (Source: Lililicious)",Manga,1,7.36
Ebiten: Kitan Kitan,,Light Novel,1,-
H-kun,,Manga,1,-
H.A.B.,,Manga,-,-
H.O.M.E: Habitant of Melting Ecstasy,1. Suzuki-san 2. Imouto_Play 3. Shoujo Sunny 4. Cheer! 5. Shoujo Mellow 6. Shoujo Melody 7. Tooooooooooko! 8. Shoujo Fake 9. Is This Love 10. Aramaki-san to Youko-chan,Manga,1,-
H2,Hiro has two loves: baseball and porn. But due to an elbow injury he gives up baseball choosing a school with no baseball team. His childhood friend Hikari attends a different school with baseball ace...,Manga,34,8.16
H20,Menga is simply known as the vice rep and is bullied. Hanako has moved to Korea but was robbed the first day and has nothing. Na Hong Soo is known as a troublemaker and is in constant trouble. And Eec...,Manhwa,7,7.64
H2O: Footprints in the Sand,"H₂O's story revolves around Takuma Hirose, a blind young male junior-high school student, though the cause for his blindness is undetermined. After his mother died an unexpected death, it left a deep...",Manga,2,7.21
Ha-Ha,"Masato dreads taking home his latest report card--his grades are so bad he just knows he'll be off his PS2 for life. Imagine his shock when he comes home to find his mother nude, blindfolded and truss...",Manga,1,6.88
Ha-i-ka-ra,1. Shiawase no Minami no Shima 2. Suiyou 3. Secret Princess 4. Alice in the dream 5. Chiisana Koi no Tomadoi 6. Yukiyama 7. Karate Baka 8-9. Hakoiri Warashi 10. Missing,Manga,1,-
Haa Haa,"As the substitute for a teacher on temporary absence, Shibata Seiko is now the teacher of an all-boys' school. As she just made up her mind to be a fantastic teacher, a man has come into her life and...",Manga,3,7.00
Habatake! Taroumaru," Enjoy this moving masterpiece full of vivid imagery that depicts everything from the basics of falconry down to the minutiae of the lives of hawks. Find out if Gentarou, a young boy, will be able to...",Manga,2,-
Haburi,,Manga,-,-
Hachi,"During high school, Hachi met Kuma, a strong-built guy, and Hanabi, Kuma's childhood friend. They become an inseparable trio. However, Kuma confesses to Hachi and Hanabi slowly stopped showing his fac...",Manga,1,-
Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu,"Noya Itsuki just started his school year at the Ebisugawa High School and since he has always had a fascination with space, he decides to join the astronomy club. However, he mistakenly walks into the...",Manga,-,-
Eccentric Hobby,"One day, high school student Nagakura receives a love letter. Heading to the promised tree, the one who was waiting for him is Nishioka...dressed in a sailor girl uniform! Super eccentric ""campus love...",Manga,1,6.62
Eccentric Lover,,Manga,1,-
Ecchi,This manga is about the sexual adventures of three very sexually-curious girls that attend an all-girl's high school. (Source: MU),Manga,14,-
Ecchi Battle!,,Manga,1,-
Ecchi Houkago,A three-volume series about a high school girls sexual adventures after school. Included one-shots: Volume 2: Atashi no Goshujinsama Volume 3: Yarasete Please!,Manga,3,-
Hachi - Yakusoku no Inu,"An American college professor named Parker picked up a stray puppy one day. He decided to keep it and named the puppy Hachi. A strong, loving bond grew between the two. Every day, Hachi would await hi...",Manga,1,-
Hachi Mairu,"Hachi, Kyuukichi's faithful dog, leaves Edo and heads for Ise Jingu Shrine to obtain a shrine talisman in place of his injured master. People called such dogs ""sanguu dogs"" and took good care of them....",Manga,2,-
"Hachi-nan tte, Sore wa Nai deshou!","Ichinomiya Shingo, a 25-year-old man working at a firm company, while thinking of tomorrow's busy working day, goes to sleep. However, when he woke up, he found himself in a room unknown to him and re...",Light Novel,-,6.82
"Hachi-nan tte, Sore wa Nai deshou!","Ichinomiya Shingo, a 25-year-old man working at a firm company, while thinking of tomorrow's busy working day, goes to sleep. However, when he woke up, he found himself in a room unknown to him and re...",Manga,-,6.71
Hachi: Tokyo 23-ku,Mutants have popped up in Tokyo. These mutants are the relatives of gods and upon consuming human blood they transform into their awakened state which resembles the god that they are related to. Hachi...,Manga,3,6.66
Hachidai Shuzoku no Saijaku Kettousha,"Long ago, there was much war and bloodshed among the eight tribes of the world. Now with each tribe confined to its own continent, the world has achieved peace and harmony. Interaction and fighting be...",Light Novel,-,-
Hachigatsu Kokonoka: Boku wa Kimi ni Kuwareru.,"In order to eat me, my enigmatic stalker is protecting me from other strange women― A high school boy, Sakurai, has a secret he cannot tell anyone: he has been plagued by stalkers since he was a child...",Manga,-,6.79
Hachigatsu no Mori,,Manga,1,-
"Hachigatsu, Kanojo wa Uso wo Tsuku.",1. Friendship♡ 2. Tsuma no Himegoto (Wife's Secret) 3. Sweltering Night! 4-9. Long Sweltering Night,Manga,1,-
"Hachigatsu, Kanojo wa Uso wo Tsuku.",,One-shot,-,-
"Hachijoujima to, Majo no Natsu",,Light Novel,1,-
X,"Six years ago, Kamui Shirou and siblings Fuuma and Kotori Monou were inseparable childhood friends. After the sudden, gruesome death of the Monou siblings' mother, Kamui was taken away from Tokyo by h...",Manga,18,8.11
Hachimitsu Darling,Chihiro drifts through life with no purpose going from girl to girl until one day he finds an abandoned kitten in a box. He quickly falls in love with little Shiro and couldn't imagine his life withou...,Manga,1,7.56
Hachimitsu Drops,,Manga,1,-
Hachimitsu Lemon Tea,,Doujinshi,1,-
Hachimitsu ni Hatsukoi,Love... Friendship... Where does one begin? Where does the other end? Neighbors and childhood friends Koharu and Natsuki are inseparable to the point that all their friends would like to see them as a...,Manga,12,7.40
Hachimitsu no Aji,"A forbidden relationship between a sensei and a student connected by chocolates and jazz, a couple who has yet to see the importance of each other's existence as a blessing, a May-December relationshi...",Manga,1,6.47
Hachimitsu no Hana,"Chitose works as a maid for the Kuze family, one of the most prestigious families of the time, in the Meiji Era. One day, Lan, a nephew of the Master, came back from England to be his adopted son. Chi...",Manga,3,7.23
D,,Manga,1,-
Z,"The adventures of Agent Z, the newest recruit to Major Eberbach's alphabet soup of subordinates. These stories take place in the Eroica universe, but they are serious espionage adventure tales and Dor...",Manga,2,-
X Boy,,Manga,1,-
X Change,"Takuya Aihara, an average junior college student with one character flaw: He's a bit of a weakling. No matter how hard he tries, it seems that all the girls around him are constantly pushing him aroun...",Light Novel,1,-
X Change 2,"Takuya Aihara, the unlucky chemistry student at Miyanomori Private School, who has a tendency to get caught in bizarre chemistry accidents that cause him many problems. When a strange chemical turned...",Light Novel,1,-
X Change 3,"Takuya Aihara, the hero/heroine of the story. He's been blessed with a very interesting life: several years ago he was changed a girl through bizarre chemistry accidents, not once but twice. Now as he...",Light Novel,1,-
X Diary,"Mingo is a firey cartoonist; Jerry is an easygoing musician. Recently broken up, the two of them promise to remain friends -- which turns out to be harder than it sounds.",Manhwa,1,-
X Equals: X wa Nazotoki ga Osuki,"Kai Kunieda is known as ""Holmes-sama"" due to his superior power of deduction and slightly quirky personality. Kii Hosaka, a girl who secretly has feelings for Kai, becomes his ""partner,"" but it ends u...",Manga,1,-
X no Kyuusei,,One-shot,-,-
X no Maou,,Light Novel,3,-
X Saibou wa Fukaku Iki wo Suru,"A battle ensues over life and death, machines or clones, create synthetic hearts or grow them? Two boys, Sei and Oishi, fall madly in love for Yuko. Her loss wreaks havoc in their young lives as relen...",Manga,1,-
D no Fuuin,"Daria is a relatively normal girl, despite the fact that she always seems to be the recipient of miracles. But when a strange character appears suddenly, with the intention of keeping his promise to k...",Manga,1,6.22
D no Maou,"Taking place in the year 1937 on the eve of World War II, the story involves a mysterious spy training organization known as the ""D Agency."" The organization is established by Lieutenant Colonel Yuuki...",Manga,3,-
D Sword of Legend,,Light Novel,3,-
D wa Hitogata Masougu desu.,,Light Novel,4,-
D'Arc : Jeanne D'Arc Den,Manga version of Jeanne D'Arc's story.,Manga,2,-
D'v,"In the year 2068, the Brain Computer, created by humans to be the core of a machine-driven Earth, itself creates Leave, an android that far surpasses the abilities of humans. With mankind now an unnec...",Manga,3,5.81
D'z,,Manga,1,-
D-ash,"Tsukasa, Tajima, Katsu, and newcomer Sae, were all members of the Hentai ShonenDai (Perverted Boy's club) at the tender age of 11. But as they grow older, how will each of their lives change? Will the...",Manga,5,7.36
D-breaker,,Light Novel,3,-
D-Crackers,,Light Novel,8,-
D-Crackers Plus: Sekai - After Kingdom,,Light Novel,1,-
Z,"The ""panic horror"" manga is set in contemporary Japan after a zombie outbreak. The omnibus of short stories depicts the tragedies that befall a bullied child, a yakuza member, a couple, and various ot...",Manga,3,-
Z Boys / Princess,,Light Novel,3,-
Z Mazinger,A retelling of Mazinger Z mixed with ancient Greek mythology with a modern touch. (Source: MU),Manga,5,-
Z no Jikan,,Light Novel,2,-
Z/X: Code Reunion,,Manga,-,-
Z/X: Zillions of Enemy X,,Manga,6,-
Zai x 10,"When ten criminal acts collide, what's going to happen!?",Manga,4,7.54
"Zaiakukan ""Onegai... Konna Sugata Minaide""",,Light Novel,1,-
Zaiakukan: Haramase Kazoku Koubi,1. Ochi Inbo 2. Musukogui: Enbo no Yuuwaku 3. Boshi Kankei 4. Koukan Jouken 5. Watashi no Himegoto 6. Ani yori mo Imouto 7. Oyako Kankou 8. Kyoudai Kanin,Manga,1,-
Zaika no Grimm,,Manga,2,-
Zaikai Teiou no Amasugiru Shiikuai,,Light Novel,1,-
X'mas Heart,"Naoki has a dark past and keeps to his friendship with Ryousuke. But when Ryousuke confesses to him everything changes, as Naoki tries to distance himself from Ryousuke. However Ryousuke doesn't let u...",One-shot,-,-
X'mas wa Kirai,Fujikura Akira is aiming to be a photographer while Masaki Hiroyuki is a high school dropout. Akira takes an unknown picture of Hiroyuki last Christmas while Hiroyuki was crying... and all Akira wants...,One-shot,-,6.03
X-Bomber,"The year is 2999, and the Solar System has just seen the end of Space War 3. An alien cruiser sweeps through Earth's defenses and issues an ultimatum - hand over the (F-01) or face destruction. Fortun...",Manga,-,-
X-Day,"It's senior year, and Rica is seriously stressed out. She's got more homework, exams, and papers than she can handle, and was recently dumped by her boyfriend. In other words: Life sucks! One day, she...",Manga,2,7.60
X-Day,"A collection of one-shots by manga-ka Tamura Yumi. X-Day: 4 short depictions of tragic misunderstandings and their consequences. 4nin no Onna: A very famous, rich, old hotel owner is found dead and wh...",Manga,1,-
X-Game Nekokino: Rage,Based on the Nekokino to Ame no Machi tankoubon by the same author. This side story contains an extra H-scene with Rage-chan. Takes place between chapters 4 and 5 of the original. (Source: Little Whit...,Doujinshi,1,-
X-Gene,"X-gene is about a few chosen people, whose DNA contains genes from certain unique animals that can turn them into that animal and receive its attributes. What makes this game even more deadly is that...",Manga,3,6.68
X-Generation Glass Slipper,,Manhwa,7,-
X-Kiss,Collection of short stories,Manga,1,-
X-Men: The Manga,"Based on the popular American comic book series, it was created as an attempt of Marvel Comics to break into the manga industry.",Manga,12,-
D-Crackers Short,,Light Novel,2,-
D-Drops,"Yuki sees entering High school as her opportunity to look more womanlike; but as a result of a magical rebound she becomes a boy! A gothic comedy of a girl who wants to recover her original body, and...",Manga,-,-
D-Frag!,"Kenji Kazama—the leader of an eponymous three-man gang—plans to take over Fujou High and make his legend known to all. However, when his first act of delinquency misfires, he finds himself coerced int...",Manga,-,8.02
D-live!!,"Ordinary high school student Satoru Ikaruga, while he doesn't look like it, happens to be a genius vehicle user, kinda like a MacGyver of vehicles. And he's extremely good with all vehicles, jet skis,...",Manga,15,7.08
D-Medal,Included one-shot: Loveless Labyrinth: After Flower,Manga,1,6.92
D-Zone,"A man sitting in a bar, exhausted from looking for someone. Who is it? His lover? No, a dancer is his reply. The reason is because that dancer is the one that ""that man"" believes in. Bidou used to liv...",Manga,2,-
D.A.,1. Medical♥Treatment 2. Scrambled Eggs 3. xx Densha de Ikou! 4. Jama shinaide yo My Sister 5. Ochitekita Tenshi 6. Akuma ni Omakase 7. Beauty and Goblin 8. Amai Doku 9. Candy Party 10. Seikimatsu Eiyu...,Manga,1,-
D.C.III: Da Capo III,"Tells the official story of ""Kazamidori-hen"" that corresponds to the main part of the original game.",Manga,3,-
D.C.III: Da Capo III - Charles Serenata,,Manga,1,-
D.C.III: Da Capo III - Kazami Gakuen Koushiki Shinbun-bu - Okurairi Jikenbo,,Manga,2,-
D.C.III: Da Capo III - Koushiki Shinbun-bu Nisshi,,Manga,1,-
Zainin Kyoushitsu,,Light Novel,-,-
Zaito BxB,,Light Novel,1,-
Zakkyo Jidai,"Zakkyo Jidai is about a girl called Kazuko who always puts on an act that she's a perfect, good girl. Prim and proper, people always think that her parents have the perfect daughter, but in fact it's...",Manga,3,-
Zako Kamisama,,Light Novel,1,-
Zakuro no Jigoku,,Manga,-,-
Zan,"A samurai manga about a boy named Zan. Zan's father was a legendary swordsman who used a sword which had no blade (think Sakabatou from Ruroken). Zan's father died one day, and ever since, Zan has wan...",Manga,2,6.72
Zan Natsu,,One-shot,-,-
Zanbara!,"Chiyo and Akehiko (both 15 years old) have been brought up in an amicable environment at a prosperous restaurant in Japan. They live a safe, happy life, but, as was the norm in feudal Japan, they trai...",Manga,3,7.05
Zange,"1) A Confession of His Own Guilt Story of a high-school student who was sexually assaulted when young, and grew up to be openly homosexual. He always tries to antagonise a teacher whom he doesn't see...",Manga,1,6.52
Zange,,Manga,-,-
Zangekikan,Step into the Horror Mansion if you dare...,Manga,10,6.59
X-Ranchi,1. Kyuu Nishi Kousha Okujou 2. 2-kai Rika Junbishitsu 3. 3-kai Kyoukashitsu 4. Chiku Taku 5. Repeat 6-7. Contact 8. x Nikki 9. Room 10. Hokenshitsu,Manga,1,-
X-Tai Shinsho,"Sugita Genpaku made a contract with the demon in exchange for the ability to cure any disease. But if he doesn’t find someone to treat within the time limit, his soul will be taken!",One-shot,-,6.75
x1 Onna no Yuuutsu,"After Nae-san asks her own nephew out just for fun, Yuu-kun thinks she's talking serious. Later he goes to her room and the two get involved.",One-shot,-,-
X2 Kakeru Ni,,Manga,1,-
X: Kai,Kaito Yagami is a florist/gardener by day and a hired assassin by night. He kills using poisons from plants to make money to care for his brother who is confined in a hospital. (Source: Tokyopop),Manga,2,6.91
XBlade,"Four years ago, a large scale disaster in Tokyo claimed two million lives. The remaining thirteen districts of the city were isolated into the Tokyo Barricade Zone. Morisaki Harumi, an unruly kid with...",Manga,12,7.20
XBlade Cross,,Manga,8,-
Xenogears 4-koma Comic,A collection of 4-koma comic of the Xenogears game by various authors.,Manga,1,-
XenoGlossia,,Manhwa,-,-
Xenon: 199X・R,,Manga,-,-
D.C.S.G.: Da Capo - Second Graduation,After two years Nemu is back home from nurses's school. What's gonna happen with Junichi's life after this reunion with his sister?,Manga,3,6.88
D.D.D.,"Since the formation of the ""Black Knight Squadron,"" the kingdom of Galronia has expanded its military presence rapidly. The Black Knights were heralded as heroes, protecting the country from its enemi...",Manga,3,-
D.Gray-man,"Thousands of years ago, there existed those gifted with the power of God. Their mission: to destroy the ominous evils that lurk in the darkness known as ""Akuma."" Led by the Milenium Earl, Akuma seek t...",Manga,-,8.30
D.Gray-man: Reverse,,Light Novel,3,8.09
D.N.Angel,"Daisuke Niwa is an ordinary, if slightly unlucky, middle school student. On his fourteenth birthday, he comes down with a 'condition' that has plagued the men in his family for three hundred years. Wh...",Manga,-,7.44
D.Y.N. Freaks,"Old Gods are invading Earth, possessing humans and baring naked their most wicked emotions. The most powerful 'disciples' of these evil demons are called 'mages.' The story concentrates on two such pe...",Manga,3,6.30
D9: Seihitsu no Akuma Sousha,,Light Novel,3,-
D@YS OF Jupiter: THE IDOLM@STER,"In an era of competitive Idols, there's one idol group that gazes over all of them, overwhelming the masses and leading the idol world, the incarnation of Zeus himself… “Jupiter”.",Manga,1,-
Da Aphorism,,Manga,2,-
Da Capo,"Every year the flowers bloom. Mysterious Cherry Blossoms blooming all over a crescent shaped island. That island is the island of Hatsune... The main character who goes to Kazami Academy, Asakura Junn...",Manga,2,6.70
W Change!!,High-school student Kisaragi Maki has one dream: to be a normal wife. She’s part of a Yakuza family known as Group Kisaragi and her father is the third generation of the group - and he wants Maki to b...,Manga,6,7.22
"Zangetsu, Kage Yokotawaru Atari",,Manga,-,-
Zangetsuden,,Light Novel,3,-
Zanguard,A spinoff of 81 Diver based on the adventures of Shito Kirino as his alter-ego Zanguard.,Manga,1,-
Zangyakuou to Ochikobore Hime no Kekkon,,Light Novel,1,-
Zangyou de Good Job!,,One-shot,-,6.80
Zangyou Lover,,One-shot,-,-
Zangyou wa Bed no Ue de,,Light Novel,1,-
Zaniku no Natsu,"Shizumaru, melancholy and lost, wanders through the land in search of the demon he has no memory of. Panicked but skilled with his techniques in battle, he unintentionally kills many of his opponents....",One-shot,-,-
Zanki x 99,"Out of nowhere, 99 girls were sent to a large room, where they are inadvertently transferred to the other side of the screen. There, strange creatures live, which begin to hunt the girls who cross the...",Manga,3,-
Zankoku na Douwatachi,"A collection of oneshots: Cruel Fairytales When Martin and his sister were young, they tried to run away from home. They ran into the forest only to find an unexpected gruesome scene: women were hange...",Manga,1,6.92
Zankoku na Hatsukoi,"Olivia looks for her sister at the hometown airport she left behind fifteen years ago only to find the last person she wanted to see—her ex-husband, Joel, whom she'd divorced when they were both too y...",Manga,1,-
Xenon: Blue Buck,,Manga,2,-
Xenosaga Episode I,"Based on the popular PS2 RPG, this manga is the adaptation of the first game in the series.",Manga,3,-
Xenosfeed Online,,Light Novel,3,-
Xevec,"2057, Hemisphere, a man-made city in Tokyo Bay, has wiped out virtually all crime by introducing the quantum AI system ""XEVEC"", through which the ""law"" acts as a physical force to protect all citizens...",Manga,3,-
XI Extreme Love,"This manga contains a series of one-shots that feature Hanai Shishimaru, the perverted boss of ‘The Help-for-Help-Seekers Room’, which will do anything for their clients except murder. Causing divorce...",Manga,1,6.91
Xi Xing Ji,"The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of hea...",Manhua,-,7.56
Xi You Ji,"Born from a stone on Spring Mountain and given the title of the Handsome Monkey King, Sun Wu Kong is the main character of Monkey King (The Journey to the West), which is regarded as one of China’s gr...",Manhua,20,-
Xia Ke Xing,"A scholar with absolutely no desire to study met a mysterious girl called ""Miss Ugly"" who had no memories of her past. She resigned to fate that she was destined to be sacrificed to the Huang Deity, b...",Manhua,-,-
Xiangsishu Xia,"True love never dies—even when it is between a human and a near-immortal youkai. Thankfully, fox spirit youkai have discovered a solution which allows a human to be reincarnated, and with the services...",Manhua,-,-
XIII-ban no Tarot Sorceress,,Light Novel,2,-
Xing Gui Shi Tian Kong De Dao Lu,"Kaphisilia Ailide is the daughter of a noble duke. Ever since the disappearance of her elder brother, her parents have put all their pressure on her. Everyday she has to have sword fighting and etique...",Manhua,9,6.89
Da Capo Girl's Symphony,"Shio is a high school student. Her parents are abroad on business, so she lives with her older brother, Takaaki. They live a peaceful life, but Shio has a secret.... One day, twin brothers, Ryouhei an...",Manga,1,-
Da Capo II,"Takes place approximately 50 years after the original D.C. ～Da Capo～ series. The story revolves around Sakurai Yoshiyuki and Otome & Yume, the two granddaughters of the original D.C. ～Da Capo～ protago...",Manga,5,-
Da Capo II: Imaginary Future,"Due to family issues, Nanaka starts to stay in the Yoshino household, living together with Yoshiyuki and Sakura. In the same setting as the original D.C.II with a different story that revolves mainly...",Manga,5,7.24
Da Capo III,"An island named Hatsune-jima shaped similarly to a crescent moon is famous for its cheery blossom trees, one of which is rumored to make any wish come true. One day, the unofficial newspaper club deci...",Manga,-,-
Da Capo: Plus Communication,"The second series of novels based on visual novel ""Plus Communication"". Each book contains different subtitle: 1. Sakura no Rasen (桜の螺旋) 2. Sakura no Kousaku (桜の交錯) 3. Sakura no Dolce (桜色のドルチェ) 4. Sak...",Light Novel,4,-
Da Maid no Goshujinsama ni Natte Kudasai,,Light Novel,1,-
Da Vinci-kei Joshikousei,"High school girl, Kuronaka Midori, suddenly time travels back in time to Renaissance period and meets Leonardo da Vinci.",Manga,-,-
Da Zhu Zai,"The Great Thousand World. It is a place where numerous planes intersect, a place where many clans live and a place where a group of lords assemble. The Heavenly Sovereigns appear one by one from the L...",Manhua,-,7.18
Da-Yoga,,One-shot,-,-
Daa! Daa! Daa!,"Miyu is an 8th grade student. Her parents went working in NASA and they left Miyu. For a moment, Miyu was sent to stay with her Uncle. The first day when Miyu arrive to her Uncle house, her uncle deci...",Manga,9,7.74
Daarin Daarin,,Manga,1,-
W Dessert,"1. W Dessert after 2. W Dessert 3. Impregnate me, Seiryu-kun - A Fight Between Unscrupulous Girls 4. Avatar in the Earth Aliens are planning on invading the Earth, and somehow having a threesome in a...",Manga,1,-
W Elf wa Gohoushi Maid!!,,Light Novel,1,-
W Maid de Seitokai!,,Light Novel,1,-
W Maid no Harem Gohoushi!! Anata no Seishori wa Watashitachi ni Omakase Kudasai!,,Light Novel,1,-
W Name,"A great ero story about the ins and outs of modern love and sex in Japan today, featuring the game of love between man and woman that has no end. (Source: JList.com) ",Manga,6,-
W Princess to Love Dousei!,,Light Novel,1,-
W x Y,"For the entirety of his life, Yokoda Takashi has been drawing erotic drawings and it has been his way of expressing his sexuality. And now, he has managed to become a successful erotic comedy manga au...",Manga,7,6.98
W Yome Sand,"1. W Yome Sand 2. Anata no Machi no Burger Shop? 3. Bitchia 4. Shimai Don 5. Kenka suru hodo ""Naka"" gaii 6. Muchuu ni nari Sugite... 7. Haisha no Okuchi wa Iinioi 8. Shiboritate! Mama Milk 9. Uwaki wa...",Manga,1,7.02
W's,The story follows Okita Tsurugi a grade three student. Son of two legendary tennis players. After watching his late father's tennis videos he aspires to be a tennis player with great calibur like his...,Manga,3,6.59
W-Body,"Includes two, five-chapter stories: 1. Dear My Master 2. Sister's Body ",Manga,1,-
W-Days,1. Hiroimon 2. Nora 3. Fukurokouji 4. Hatsukoi 5. Iede Musume 6. Aojashin 7. Yumentare 8. Unmei no Hito 9. Geidassha 10. Bocchi,Manga,1,-
W-Juliet,"Makoto Amano wants to become an actor, but his stern father has decreed that the only way Makoto can pursue his dream is to spend the last two years of high school as a girl! He quickly makes friends...",Manga,14,7.92
Zankoku na Kami ga Shihai suru,"The story follows Jeremy, who is sexually abused by his stepfather. Mentally disturbed by this, Jeremy goes down a path of murder; however, he accidentally finds himself the murderer not only of his s...",Manga,17,8.23
Zankoku na Sankoku,"Laura and Gabriel were passionately in love - even though she was the daughter of a wealthy family, while he was a mere stable boy. But when Laura's parents reject the penniless Gabriel's proposal to...",Manga,1,6.36
Zankoku ni Ai wo Sasayaite,1. Zankoku ni Ai wo Sasayaite 2. Gouman ni Ai wo Sasayaite 3. Sasayaku nara Eien no Ai wo 4-5. Amai Yume wo Sasayaite 6. Nakayoku shimasho.,Manga,1,-
Zankoku no Puzzle,Everyone have a beast inside their heart and sometimes it takes real form and hurts other. Mio have to control her beast while searching the truth about her parents death.,Manga,1,-
Zankoku Yuugi,1-3. Zankoku Yuugi (Cruel Game) 4-5: Kimi dake Kimi dake (Only You Only You),Manga,1,6.40
Zankokuna Kimi ni Tomoni,The older brother's company is at the verge of bankruptcy. The only way to prevent bankrupts is to depend on his younger step-brother's support. And the stepbrother is intent on getting his revenge on...,Manga,1,6.70
Zankou no Vernerura,,Light Novel,4,-
Zankou Noise,1. Zankou Noise (Afterglow Noise) 2. Kaikou Effect (Encounter Effect) 3. Girls Talk 4. Renai no Dekinai Oshigoto 5. Summer♥Splash 6. Heavy Rotation★Lingerie (Everyday Lingerie) ,Manga,1,6.73
Zankyou,"Satoru spends his days listlessly in a factory town. The old man Segawa, a former Yakuza, lives in the room next to his cheap apartment. One day, Segawa asks Satoru to kill him for a 5 million yen, bu...",Manga,3,6.85
Zanma Kenden,,Manga,3,-
Zanmataisei Demonbane,"Arkham city is a bustling hub of commerce and industry, however Arkham is also a center of eldrich lore: home to Miskatonic University, an institution of higher learning with one of the most complete...",Light Novel,6,-
Zannen Danshi.,,Manga,-,-
Xingkong Club,"Yue Hui is a girl who plays piano with a dream of becoming a chef, who pretends to be a boy because of an odd job. What's waiting for her is a mysterious mansion and 12 boys who have the curse of 12 s...",Manhua,20,-
Xiongba Tianxia,"Ya Se and his little brother Ou Ne are studying in a combat academy. However, the people around them treat them bad because they are poor and lowly. The combat tournament is where brave warriors fight...",Manhua,7,-
Xiphos - Shinsekai no Bohyou,,Manga,-,-
Xmas Romance: Koi wa Hadaka de Hajimeyou,,Light Novel,1,-
XO Sisters,"Our protagonist Jo Cheul-Hee is a delinquent who enjoys picking fights and aims to take control of his new school where he gets transferred, but what he doesn't know is that it's an all girls school....",Manhwa,3,6.58
XS #01,,Doujinshi,1,-
XS Hybrid,"In a strange future where gifted, ""hybrid"" humans police the planet, Mina is a likeable tomboy with growing psychic powers. When a young boy falls into a coma after gazing into her eyes, it\'s clear t...",Manhwa,5,7.16
XS!,1. Aiaigasa (Love Umbrella) 2-3. Skinship 4. Kanojo-tachi no Kankei (Their Relationship) 5. Carrot and Stick 6. Ichigo Taste 7. Shoka (Early in the Summer) 8. Pikapika no 9. Nouaru Bara wa Toge Kakusu...,Manga,1,-
Xtra Syndrome,"From Wataame Shoujo: This manhwa is about a boy Yoon, Ah-so who's staying with his aunt while his parents go to live in a different country. As soon as his parents leave, Ah-so transforms himself from...",Manhwa,3,-
Dachi no Imouto,,Manga,-,-
Dada Ama Imouto no Ouen Ecchi: Iyashite Ageru wa Oniichan!,,Light Novel,1,-
Dadada,,Manga,2,-
Dadadadan.,"One is super shy around girls. The second just hates them. The third could give a care unless she's 2-D. Welcome to Dadadan, a slapstick school life comedy following the antics of three fail males and...",Manga,6,7.30
Daddy Long Legs,"Left to the naive but good-hearted high school girl Cha Young-mi's own devices after the tragic loss of her parents, Young-mi is determined to overcome whatever hardships the future may bring in order...",Manhwa,2,7.39
Daddy Long Legs,"Set during the Showa period, an orphan named Itsuki is offered some unexpected support! The only condition is to write a letter every month... A fun-filled romance based on “Daddy Long Legs” and compi...",Manga,1,-
W-Juliet II,Ito and Makoto have finally gotten married - but W Juliet is FAR from done! Ito must learn to accept Makoto's dream to become an actor as well as cope with all the disasters and stress her friends and...,Manga,-,7.83
